id,year,author,title,epoch,genre,level,tags
1,1774,"Jakob Michael Reinhold Lenz","Die Soldaten","Sturm und Drang","Drama","BF, LF","lenz_soldaten_1774","Lenz","Soldaten","Jakob Michael Reinhold","Lenz","Sturm und Drang, Sozialkritik, Komödie, Tragödie, Komödie, Militär, Antisemitismus, Geschlechterrollen"
2,1774,"Johann W. Goethe","Die Leiden des jungen Werthers","Sturm und Drang","Roman","10, BF, LF","goethe_werther_1774","Goethe","Werther","Johann W.","Goethe","Briefroman, Sturm und Drang, Empfindsamkeit, Liebe, Freundschaft, Natur, Freiheit, Tod, Sozialkritik, Künstlerexistenz, Geschlechterrollen, Außenseitertum, Identität"
3,1779,"G. E. Lessing","Nathan der Weise ","Aufklärung","Drama","10, BF, LF","lessing_nathan_1779","Lessing","Nathan","G. E.","Lessing","Aufklärung, Toleranz, Religion, Komödie, Tragödie, Kindheit, Liebe, Antisemitismus, Kolonialismus"
4,1787,"Friedrich Schiller","Die Räuber","Sturm und Drang","Drama","10, BF, LF","schiller_raeuber_1787","Schiller","Räuber","Friedrich","Schiller","Drama, Tragödie, Sturm und Drang, Künstlerexistenz, Empfindsamkeit, Aufklärung, Familie, Religion, Sozialkritik, Außenseitertum, Identität, Gewalt, Freiheit"
5,1797,"Wilhelm Tieck","Der blonde Eckbert","Romantik","Erzählung","LF, BF","tieck_eckbert_1797","Tieck","Der blonde Eckbert","Wilhelm","Tieck","Romantik, Novelle, Kunstmärchen, Geschlechterrollen, Adoleszenz, Kindheit, Außenseitertum, Familie, Liebe, Psychologie, Natur"
6,1801,"Dorothea Schlegel","Florentin","Romantik","Erzählung","LF","schlegel_florentin_1805","Schlegel","Florentin","Dorothea","Schlegel","Aufklärung, Romantik, Entwicklungsroman, Freiheit, Liebe, Freundschaft, Religion, Sozialkritik, Geschlechterrollen, Identität"
7,1808,"Johann W. Goethe","Faust I","k. A.","Drama","LF, BF",,,,"Johann W.","Goethe",
8,1814,"Adalbert v. Chamisso","Peter Schlehmils wundersame Geschichte ","Romantik","Erzählung","10, BF, LF","chamisso_schlemihl_1814","Chamisso","Schlemihl","Adalbert","v. Chamisso","Identität, Außenseitertum, Sozialkritik, Kapitalismuskritik, Psychologie, Natur, Künstlerexistenz, Romantik, Novelle"
9,1816,"E. T. A. Hoffmann","Der Sandmann ","Romantik","Erzählung","BF, LF","hoffmann_sandmann_1816","Hoffmann","Sandmann","E. T. A.","Hoffmann","Novelle, Briefroman, Romantik, Kindheit, Aufklärung, Sprachkritik, Psychologie, Künstlerexistenz, Bildende Kunst, Liebe, Freundschaft, Tod, Geschlechterrollen, Identität"
10,1847,"Franz Grillparzer","Der arme Spielmann","Realismus","Novelle","10, BF, LF","grillparzer_spielmann_1847","Grillparzer","Spielmann","Franz","Grillparzer","Außenseitertum, Realismus, Künstlerexistenz, Musik, Bildende Kunst, Geschlechterrollen, Adoleszenz, Identität"
